individual,chosen,wait_time_air,wait_time_train,wait_time_bus,wait_time_car,cost_air,cost_train,cost_bus,cost_car,in_vehicle_time_air,in_vehicle_time_train,in_vehicle_time_bus,in_vehicle_time_car,hhincome_thousands,party_size
65,train,64,75,53,0,116,89,47,19,164,685,875,874,12,2
66,bus,69,34,10,0,103,88,30,50,129,925,790,887,30,1
67,car,64,44,53,0,109,101,56,26,230,1104,1094,960,35,2
68,bus,69,34,45,0,108,92,39,52,177,907,850,865,35,1
69,train,64,40,53,0,92,73,46,16,161,792,920,887,60,3
70,train,64,45,53,0,119,75,51,19,161,765,869,898,60,2
71,train,64,40,53,0,109,24,46,27,190,399,951,897,12,2
72,train,69,30,35,0,111,30,50,47,108,760,867,844,10,1
73,train,69,25,35,0,104,23,45,41,246,830,1068,978,10,1
74,train,69,75,35,0,104,23,43,40,200,835,846,927,15,1
75,train,64,30,53,0,124,82,54,19,160,850,893,886,10,2
76,train,64,50,53,0,103,73,43,50,145,840,892,894,8,1
77,train,69,30,35,0,103,80,42,38,125,800,844,861,30,1
78,car,64,44,53,0,113,51,49,26,163,948,938,720,20,2
79,car,64,44,53,0,76,63,44,10,147,918,908,1440,70,5
80,bus,69,34,30,0,108,89,43,35,163,905,785,879,20,1
81,bus,69,34,60,0,127,109,52,50,193,888,1025,892,60,1
82,car,64,44,53,0,44,25,20,5,100,351,361,180,70,4
83,train,69,1,35,0,59,11,13,17,98,320,413,332,8,1
84,train,69,25,35,0,59,60,25,8,114,337,423,335,30,1
85,air,25,44,53,0,65,69,30,16,140,596,590,577,70,2
86,train,69,10,35,0,60,37,28,14,67,285,400,320,60,1
87,car,64,44,53,0,59,17,14,5,118,349,359,240,20,2
88,train,69,10,35,0,61,18,27,12,72,305,396,332,15,1
89,car,64,44,53,0,59,32,26,6,118,349,359,265,30,2
90,train,64,20,53,0,60,40,26,10,74,262,389,315,26,2
91,train,64,20,53,0,44,30,19,4,93,291,346,316,35,4
92,train,69,10,35,0,58,30,25,14,124,340,427,364,12,1
93,car,64,44,53,0,84,70,31,15,108,596,590,360,70,2
94,air,30,44,53,0,145,31,25,13,90,343,388,296,50,1
95,air,45,44,53,0,121,92,47,20,100,926,916,885,40,2
96,air,30,34,35,0,84,72,33,26,180,707,701,626,70,1
97,bus,69,34,5,0,61,17,31,13,146,409,300,350,10,1
98,air,45,34,35,0,180,89,44,39,160,985,975,896,26,1
99,bus,64,44,40,0,94,79,32,13,231,949,1110,942,50,3
100,car,64,44,53,0,92,77,46,17,203,961,951,780,70,3
101,bus,69,34,15,0,59,31,25,23,111,376,360,351,30,1
102,car,64,44,53,0,75,64,45,13,153,900,890,720,50,5
103,car,69,34,35,0,58,16,13,13,99,366,411,300,20,1
104,car,64,44,53,0,110,91,46,21,153,874,864,960,32,2
105,car,64,44,53,0,108,90,45,20,187,932,922,1440,27,2
106,bus,69,34,30,0,104,89,28,40,179,978,795,904,30,1
107,car,69,34,35,0,108,89,44,34,180,901,891,720,35,1
108,car,64,44,53,0,78,66,43,11,146,903,893,870,40,4
109,car,64,44,53,0,60,32,26,8,144,404,449,270,60,2
110,car,64,44,53,0,78,67,44,12,175,932,922,720,40,4
111,car,69,34,35,0,67,38,32,12,108,370,415,240,70,1
112,car,64,44,53,0,108,90,45,19,200,944,934,720,70,2
113,air,60,44,53,0,108,32,26,7,80,344,389,315,30,2
114,air,30,44,53,0,58,32,26,8,90,506,551,402,35,2
115,air,55,34,35,0,69,43,37,13,115,392,437,268,60,1
116,air,40,34,35,0,66,31,25,18,105,372,417,327,45,1
117,bus,69,34,40,0,57,31,18,13,67,355,245,320,45,1
118,bus,69,34,20,0,129,67,54,38,185,933,820,894,6,1
119,air,90,34,35,0,151,96,51,35,95,895,885,844,36,1
120,air,10,34,35,0,70,34,28,22,85,351,396,307,20,1
121,air,25,44,53,0,75,15,12,7,100,348,393,290,20,2
122,air,99,34,35,0,110,92,47,45,260,934,924,816,26,1
123,air,30,34,35,0,94,89,44,58,195,943,933,912,29,1
124,air,35,44,53,0,95,45,43,23,155,930,920,860,8,2
125,bus,69,34,15,0,104,89,38,39,178,992,675,900,32,1
126,bus,64,44,30,0,103,88,35,18,170,889,770,905,45,2
127,car,64,44,53,0,86,75,44,13,167,972,962,870,45,3
128,bus,64,44,30,0,108,90,36,18,139,862,780,875,26,2
129,car,69,34,35,0,59,31,25,13,106,372,417,300,60,1
130,train,64,10,53,0,58,35,13,8,124,380,427,364,10,2
131,car,64,44,53,0,107,89,44,2,153,880,870,660,45,2
132,car,64,44,53,0,86,74,43,16,143,880,870,660,60,3
133,bus,69,34,15,0,108,91,35,38,196,967,935,903,60,1
134,bus,69,34,25,0,103,45,25,37,149,892,730,882,8,1
135,car,64,44,53,0,103,89,44,34,160,987,977,660,60,2
136,car,64,44,53,0,114,60,58,19,161,1031,1021,720,12,2
137,car,69,34,35,0,107,91,46,36,150,914,904,750,45,1
138,bus,69,34,5,0,118,96,65,64,137,904,850,859,50,1
139,bus,69,34,45,0,102,87,35,35,101,870,800,825,26,1
140,car,64,44,53,0,85,73,42,12,101,870,860,600,35,3
141,train,69,30,35,0,107,61,45,54,158,780,901,853,12,1
142,train,69,30,35,0,113,67,49,47,244,845,893,868,15,1
143,train,64,99,53,0,84,37,46,10,215,885,966,921,12,4
144,train,64,25,53,0,94,68,47,16,163,755,895,879,35,3
145,train,69,15,35,0,112,21,45,47,161,797,876,852,26,1
146,train,69,45,35,0,103,20,43,35,166,820,836,886,6,1
147,train,69,30,35,0,107,33,44,48,152,755,882,845,4,1
148,train,64,10,53,0,103,41,43,19,164,730,925,898,40,2
149,train,64,10,53,0,143,83,70,50,166,825,896,911,40,1
150,air,45,34,35,0,94,91,46,49,270,916,906,872,60,1
151,air,45,34,35,0,138,60,58,47,115,880,870,888,4,1
152,air,60,34,35,0,102,112,67,43,250,997,952,971,50,1
153,air,60,44,53,0,151,91,46,21,255,941,931,959,60,2
154,air,60,34,35,0,111,97,52,49,205,888,878,855,70,1
155,air,60,44,53,0,70,31,25,7,95,360,405,335,40,2
156,air,45,44,53,0,74,26,21,4,70,361,406,315,35,3
157,air,75,44,53,0,165,98,53,26,180,967,922,947,60,2
158,air,30,34,35,0,93,96,51,54,175,1030,1020,967,60,1
159,air,90,44,53,0,71,31,25,7,115,385,430,332,50,2
160,air,45,44,53,0,75,33,28,5,75,418,463,291,40,3
161,air,60,34,35,0,81,32,26,13,70,341,386,307,60,1
162,air,75,34,35,0,94,33,27,14,95,367,412,314,20,1
163,car,64,44,53,0,70,61,34,11,158,778,772,470,50,3
164,car,64,44,53,0,65,54,33,8,145,674,668,560,70,4
165,car,64,44,53,0,71,59,32,8,133,625,619,510,50,3
166,car,69,34,35,0,81,71,32,33,139,698,692,600,26,1
167,car,64,44,53,0,65,53,32,9,154,621,615,535,45,4
168,car,64,44,53,0,58,48,32,5,148,646,640,470,45,6
169,car,69,34,35,0,81,70,31,30,95,610,604,440,30,1
170,car,64,44,53,0,71,59,32,10,145,658,652,590,40,3
171,car,64,44,53,0,82,71,32,13,159,765,759,490,50,2
172,bus,69,34,50,0,61,33,26,14,73,350,227,314,35,1
173,bus,69,34,15,0,60,31,21,14,133,397,240,351,34,1
174,bus,64,44,15,0,81,35,31,12,129,677,565,588,8,2
175,car,69,34,35,0,59,32,26,17,117,397,442,180,30,1
176,bus,69,34,30,0,111,93,35,42,276,1047,860,1008,32,1
177,bus,69,34,15,0,59,30,21,13,88,361,295,299,26,1
178,bus,69,34,15,0,59,31,21,13,114,389,243,334,42,1
179,air,90,44,53,0,55,72,33,24,115,602,596,589,50,1
180,air,15,44,53,0,87,31,25,7,110,348,393,320,70,2
181,car,69,34,35,0,62,39,33,12,76,377,422,300,30,1
182,car,69,34,35,0,59,31,25,14,121,386,431,270,26,1
183,train,64,20,53,0,51,61,22,6,90,350,405,327,26,3
184,train,64,50,53,0,64,41,15,9,215,420,385,321,18,2
185,train,64,30,53,0,58,21,24,7,74,295,389,315,35,2
186,bus,64,44,15,0,71,58,35,11,119,617,615,586,50,3
187,air,15,34,35,0,50,15,12,13,75,361,406,315,4,1
188,air,10,44,53,0,61,24,19,4,80,350,395,314,30,4
189,car,69,34,35,0,59,31,25,13,100,372,417,210,45,1
190,car,69,34,35,0,58,31,25,18,73,324,334,240,60,1
191,car,69,34,35,0,62,19,16,18,184,454,464,225,4,1
192,air,30,34,35,0,93,33,27,13,85,365,410,308,30,1
193,air,20,34,35,0,76,33,27,13,95,344,389,315,60,1
194,bus,64,44,30,0,100,49,48,14,190,678,430,629,4,2
195,train,64,10,53,0,48,21,13,4,63,255,397,324,18,3
196,train,64,10,53,0,58,30,13,6,93,315,346,316,15,2
197,car,69,34,35,0,59,30,24,10,94,361,406,270,26,1
198,air,30,34,35,0,111,71,32,27,105,596,590,577,40,1
199,air,5,44,53,0,64,30,24,7,80,348,393,291,70,2
200,air,5,44,53,0,60,24,19,3,85,379,424,337,45,4
201,bus,64,44,16,0,97,76,38,15,188,825,810,803,26,3
202,car,69,34,35,0,91,77,38,29,117,630,624,540,35,1
203,bus,69,34,5,0,59,16,14,17,114,378,370,335,4,1
204,bus,69,34,10,0,60,34,37,13,66,352,250,307,20,1
205,bus,69,34,30,0,107,89,35,37,144,879,775,868,45,1
206,car,69,34,35,0,81,69,30,30,124,605,599,720,40,1
207,air,45,34,35,0,126,70,31,32,135,596,590,577,40,1
208,bus,69,34,50,0,59,15,29,13,86,360,265,300,2,1
209,car,69,34,35,0,81,35,31,27,124,605,599,510,20,1
210,car,64,44,53,0,66,54,33,12,140,670,664,540,70,4
